SPEC,LONG,LAT
Trufum,-92.446573,38.946228
Trufum,-92.44653,38.94626
Trufum,-92.755412,38.40247
Trufum,-92.2465,38.9091
Trufum,-92.742905,38.967487
Trufum,-92.25857,38.78789
Trufum,-84.356586,46.172439
Trufum,-76.64005,39.44087
Trufum,-75.169166,40.340986
Trufum,-75.169781,40.339366
Trufum,-75.106229,40.479083
Trufum,-75.627268,40.865099
Trufum,-75.072991,40.132682
Trufum,-75.180302,40.333376
Trufum,-75.602161,40.040611
Trufum,-86.286079,33.586201
Trufum,-77.53161,39.362
Trufum,-77.53349,39.20081
Trufum,-79.190322,36.413646
Trufum,-77.54957,39.44371
Trufum,-79.73538,34.19965
Trufum,-77.841772,34.199575
Trufum,-77.901435,34.110886
Trufum,-77.96581,34.23077
Trufum,-77.372498,34.777329
Trufum,-77.96064,34.961594
Trufum,-77.65878,34.40632
Trufum,-77.15338,34.75136
Trufum,-83.17657,35.3137
Trufum,-83.48179,35.83981
Trufum,-80.2714,26.3031
Trufum,-88.035086,44.558057
Trufum,-88.101425,44.616989
Trufum,-83.77504,34.25475
Trufum,-77.957468,38.974808
Trufum,-77.100304,38.980709
Trufum,-84.6811,37.1732
Trufum,-87.969737,43.054799
Trufum,-87.88458,43.339438
Trufum,-87.7405,43.7067
Trufum,-82.264648,34.937729
Trufum,-81.76269,28.53313
Trufum,-92.40581,34.85233
Trufum,-85.41106,34.96338
Trufum,-79.264181,37.34731
Trufum,-79.440575,37.774448
Trufum,-79.46191,37.79261
Trufum,-79.281204,37.35679
Trufum,-79.1582,37.3469
Trufum,-79.39443,37.898563
Trufum,-75.66329,39.73592
Trufum,-80.12508,36.69143
Trufum,-89.76919,35.08888
Trufum,-80.896326,34.161954
Trufum,-84.739494,34.457184
Trufum,-89.419818,43.041603
Trufum,-82.4246,33.37779
Trufum,-82.139145,33.541035
Trufum,-82.13064,33.53374
Trufum,-82.67032,33.18779
Trufum,-82.97118,33.277493
Trufum,-82.50455,33.47074
Trufum,-82.80376,33.10205
Trufum,-82.07564,33.51734
Trufum,-82.59982,33.233135
Trufum,-87.5817,33.22643
Trufum,-78.91343,36.00628
Trufum,-84.8659,33.8765
Trufum,-76.415083,37.664705
Trufum,-84.26954,33.27009
Trufum,-73.21566,44.06646
Trufum,-93.236355,37.239588
Trufum,-93.95043,37.138497
Trufum,-86.16638,34.20069
Trufum,-86.57158,30.444654
Trufum,-95.96103,36.097202
Trufum,-87.70503,32.541714
Trufum,-87.83641,32.51764
Trufum,-87.88331,32.64823
Trufum,-87.94971,32.25044
Trufum,-80.747412,35.431235
Trufum,-87.02797,32.415897
Trufum,-81.7268,30.3056
Trufum,-94.024215,30.813937
Trufum,-94.023499,30.813605
Trufum,-94.023818,30.813633
Trufum,-94.023802,30.813255
Trufum,-94.023903,30.813734
Trufum,-94.024102,30.813937
Trufum,-94.81188,30.522026
Trufum,-94.01548,30.13161
Trufum,-94.103645,30.042278
Trufum,-94.73643,30.149958
Trufum,-84.46244,33.87062
Trufum,-90.035797,30.368601
Trufum,-82.150177,26.985053
Trufum,-82.01149,26.63236
Trufum,-92.377359,36.335096
Trufum,-92.91309,36.468876
Trufum,-92.37658,36.337467
Trufum,-91.095755,30.356679
Trufum,-91.166914,30.435687
Trufum,-91.094661,30.357006
Trufum,-91.150002,30.450001
Trufum,-91.653563,30.391008
Trufum,-91.146851,30.40724
Trufum,-91.185037,30.459783
Trufum,-91.33394,30.85928
Trufum,-91.105091,30.581209
Trufum,-91.09427,30.281199
Trufum,-89.98578,32.27298
Trufum,-89.968475,32.28942
Trufum,-89.98588,32.27325
Trufum,-86.251671,33.173222
Trufum,-89.471725,32.36553
Trufum,-87.33998,30.60849
Trufum,-84.282014,30.452397
Trufum,-84.30185,30.431313
Trufum,-84.3752,30.176
Trufum,-84.568995,30.903907
Trufum,-84.266336,30.475328
Trufum,-84.271988,30.37134
Trufum,-84.41461,30.6238
Trufum,-96.6902,33.1693
Trufum,-80.17319,26.45057
Trufum,-80.162267,26.485467
Trufum,-80.113878,26.885024
Trufum,-80.14708,26.83578
Trufum,-80.2653,26.2419
Trufum,-80.11732,26.93481
Trufum,-80.22001,26.714922
Trufum,-86.73733,36.18133
Trufum,-86.44669,36.38835
Trufum,-86.449997,36.883335
Trufum,-86.436531,36.856605
Trufum,-86.802317,36.424233
Trufum,-86.949577,36.161716
Trufum,-86.455215,36.38942
Trufum,-86.325304,36.515941
Trufum,-86.2256,36.5762
Trufum,-86.620003,36.304749
Trufum,-77.18837,38.411423
Trufum,-76.96627,38.2435
Trufum,-79.069084,41.446415
Trufum,-79.49762,41.143517
Trufum,-80.2317,27.234596
Trufum,-81.41545,35.491215
Trufum,-92.13014,34.26089
Trufum,-80.96922,34.17997
Trufum,-84.53432,34.612946
Trufum,-87.67554,33.24786
Trufum,-84.4851,33.4828
Trufum,-76.592538,37.779614
Trufum,-76.46135,37.05751
Trufum,-84.34493,33.74011
Trufum,-84.13571,35.76038
Trufum,-94.391182,29.576591
Trufum,-82.59172,28.19389
Trufum,-82.61182,28.249472
Trufum,-82.389449,28.847703
Trufum,-94.934396,29.218527
Trufum,-82.492409,28.079229
Trufum,-82.2822,28.4785
Trufum,-94.389446,29.55966
Trufum,-88.833293,39.315136
Trufum,-82.72275,28.02707
Trufum,-82.188976,28.296117
Trufum,-88.95643,39.8783
Trufum,-84.275588,34.043428
Trufum,-84.07131,34.0515
Trufum,-84.14021,34.2073
Trufum,-84.5666,34.12216
Trufum,-84.14088,34.02855
Trufum,-84.79994,34.1651
Trufum,-84.61553,34.0234
Trufum,-84.2584,34.09945
Trufum,-84.135124,34.208763
Trufum,-84.0704,34.04556
Trufum,-83.75,41.5167
Trufum,-83.064278,41.59053
Trufum,-83.196187,41.631287
Trufum,-83.976564,41.734077
Trufum,-83.531085,41.075569
Trufum,-83.162943,41.615537
Trufum,-83.198355,41.628258
Trufum,-83.189989,41.626414
Trufum,-83.15,41.36
Trufum,-84.25875,30.42901
Trufum,-85.008672,35.254038
Trufum,-85.76667,38.25
Trufum,-85.566666,38.299999
Trufum,-85.733406,38.302837
Trufum,-85.7596,38.515804
Trufum,-85.89053,38.95876
Trufum,-85.441475,38.188293
Trufum,-85.58359,38.302353
Trufum,-85.45576,38.23317
Trufum,-85.714386,38.18473
Trufum,-85.884834,38.353916
Trufum,-91.831833,35.20105
Trufum,-91.20012,35.25619
Trufum,-91.25245,35.002974
Trufum,-91.948584,35.020778
Trufum,-88.52225,34.93429
Trufum,-91.74527,35.2446
Trufum,-91.588135,35.3037
Trufum,-80.302895,25.666985
Trufum,-80.403482,25.602819
Trufum,-80.407891,25.680151
Trufum,-80.5052,25.4802
Trufum,-80.48687,25.469004
Trufum,-80.494099,25.56164
Trufum,-80.148993,25.722618
Trufum,-80.442935,25.465296
Trufum,-79.397415,34.179928
Trufum,-100.434739,37.166339
Trufum,-100.849785,37.975372
Trufum,-69.332727,44.602282
Trufum,-69.654627,44.554407
Trufum,-91.541745,38.923472
Trufum,-91.540409,38.923731
Trufum,-91.540417,38.923612
Trufum,-91.16443,38.805817
Trufum,-82.4791,28.1452
Trufum,-87.928143,41.662766
Trufum,-70.9922,43.1514
Trufum,-70.24111,43.73745
Trufum,-81.34121,35.73323
Trufum,-81.91055,35.12342
Trufum,-74.522375,40.720152
Trufum,-74.429486,40.49014
Trufum,-74.900214,40.213481
Trufum,-74.971776,40.169347
Trufum,-74.602645,40.621021
Trufum,-74.863188,40.113844
Trufum,-74.534061,40.716757
Trufum,-74.691391,40.741112
Trufum,-74.249479,40.60516
Trufum,-74.441337,40.518056
Trufum,-82.45,27.137024
Trufum,-77.979921,35.492536
Trufum,-77.86298,35.80645
Trufum,-80.74361,34.92444
Trufum,-80.896359,34.161791
Trufum,-80.89631,34.161904
Trufum,-80.896337,34.161943
Trufum,-80.9628,34.03109
Trufum,-80.896339,34.161948
Trufum,-80.896307,34.161894
Trufum,-80.896309,34.161904
Trufum,-80.894737,34.161639
Trufum,-80.894296,34.160822
Trufum,-75.77965,39.82178
Trufum,-81.527036,41.215575
Trufum,-88.34221,30.4763
Trufum,-95.489716,33.668858
Trufum,-87.77609,30.3996
Trufum,-80.26587,26.207016
Trufum,-84.74774,33.75151
Trufum,-84.3494,33.7884
Trufum,-84.45493,33.44871
Trufum,-80.407236,37.210508
Trufum,-80.826374,37.459162
Trufum,-82.4091,28.1665
Trufum,-82.46903,28.22274
Trufum,-80.01809,37.2293
Trufum,-80.6176,37.1508
Trufum,-82.75824,28.076273
Trufum,-100.51585,48.500449
Trufum,-80.139406,35.803388
Trufum,-80.8873,35.78264
Trufum,-80.9451,35.00735
Trufum,-81.638787,30.511978
Trufum,-89.18837,34.6159
Trufum,-81.73729,31.729897
Trufum,-86.60711,31.818346
Trufum,-86.264626,32.35406
Trufum,-81.473475,27.474313
Trufum,-81.512117,27.464299
Trufum,-81.341658,27.189449
Trufum,-81.395988,27.239673
Trufum,-81.3567,27.06723
Trufum,-81.522293,27.832804
Trufum,-81.338654,27.226547
Trufum,-81.5859,27.9014
Trufum,-81.5306,27.74591
Trufum,-80.53206,35.247486
Trufum,-90.551812,43.985328
Trufum,-83.71444,33.791576
Trufum,-83.51407,33.94568
Trufum,-83.59734,33.96456
Trufum,-83.61239,33.62592
Trufum,-83.71379,33.93201
